stage,epoch,lr,train_l1_norm,val_mae,best_val,q_scale
base,24,0.0009866632986240034,0.09229373614282625,2.1448543385009486,2.1448543385009486,0.0
base,25,0.0009847001329696657,0.0785625186026766,2.025514676284236,2.025514676284236,0.0
base,26,0.0009826044551386748,0.08074104058970773,1.9253887551772817,1.9253887551772817,0.0
base,27,0.0009803768380684246,0.08114110709015751,1.83444081753809,1.83444081753809,0.0
base,28,0.0009780178907671793,0.07616413703986577,1.755872373486899,1.755872373486899,0.0
base,29,0.0009755282581475772,0.07498044473463121,1.6946266201724611,1.6946266201724611,0.0
base,30,0.0009729086208503176,0.0747525230207265,1.638310501902218,1.638310501902218,0.0
base,31,0.000970159695058081,0.07393100052880629,1.6033867434570388,1.6033867434570388,0.0
base,32,0.0009672822322997309,0.06935161268784895,1.593185351910526,1.593185351910526,0.0
base,33,0.0009642770192448539,0.07527432130977282,1.5663071448473285,1.5663071448473285,0.0
base,34,0.0009611448774886927,0.07453994301925748,1.5412494478937884,1.5412494478937884,0.0
base,35,0.000957886663327529,0.06806550402518013,1.4955097383054345,1.4955097383054345,0.0
base,36,0.0009545032675245816,0.06684932360078348,1.442902856651982,1.442902856651982,0.0
base,37,0.0009509956150664798,0.06448788528826717,1.394854506449097,1.394854506449097,0.0
base,38,0.000947364664910382,0.0673419431183377,1.3683139673023244,1.3683139673023244,0.0
base,39,0.0009436114097218062,0.060657830913592795,1.3471816381547626,1.3471816381547626,0.0
base,40,0.0009397368756032448,0.06781937510998418,1.3197627395225175,1.3197627395225175,0.0
base,41,0.0009357421218136389,0.05955793861298899,1.2926691864860411,1.2926691864860411,0.0
base,42,0.0009316282404787872,0.06543518041449112,1.2686018319448127,1.2686018319448127,0.0
base,43,0.0009273963562927697,0.0587488556145337,1.2484696937939501,1.2484696937939501,0.0
base,44,0.0009230476262104679,0.06013532850282287,1.2268499426727657,1.2268499426727657,0.0
base,45,0.0009185832391312645,0.05828138051831758,1.1946086736298716,1.1946086736298716,0.0
base,46,0.0009140044155740103,0.058817191350572125,1.165968004993677,1.165968004993677,0.0
base,47,0.0009093124073433465,0.06166986820587623,1.137499794904987,1.137499794904987,0.0
base,48,0.0009045084971874741,0.6798576587515123,1.103531597568693,1.103531597568693,0.0
base,49,0.0008995939984474627,0.35633634698313055,1.0755313063291092,1.0755313063291092,0.0
base,50,0.0008945702546981972,0.11730564857101228,1.0512146912227573,1.0512146912227573,0.0
base,51,0.0008894386393810567,0.056038904054411996,1.0110916558148837,1.0110916558148837,0.0
base,52,0.0008842005554284299,0.05496541079158521,0.9792754900689647,0.9792754900689647,0.0
base,53,0.0008788574348801678,0.052513408339869616,0.9519814626344855,0.9519814626344855,0.0
base,54,0.0008734107384920774,0.05091810038083055,0.9240805364881535,0.9240805364881535,0.0
base,55,0.0008678619553365663,0.051112666006852006,0.8948542650236336,0.8948542650236336,0.0
base,56,0.000862212602395545,0.05011800881684496,0.8714075681130511,0.8714075681130511,0.0
base,57,0.000856464224145699,0.04917692625585485,0.8464093265534905,0.8464093265534905,0.0
base,58,0.0008506183921362446,0.336793632835758,0.8197370157560369,0.8197370157560369,0.0
base,59,0.0008446767045592834,0.050530447629962706,0.7985924549681563,0.7985924549681563,0.0
base,60,0.0008386407858128711,0.06781173202302498,0.7713251403281424,0.7713251403281424,0.0
base,61,0.0008325122860569247,0.04750668269690366,0.7497515799045599,0.7497515799045599,0.0
base,62,0.0008262928807620847,0.046148735649731695,0.7251595250238823,0.7251595250238823,0.0
base,63,0.0008199842702516587,0.04599770026123871,0.7034059224357976,0.7034059224357976,0.0
base,64,0.0008135881792367689,0.046648325752642036,0.6838689645313665,0.6838689645313665,0.0
base,65,0.0008071063563448344,0.04772129564250699,0.6613912578752753,0.6613912578752753,0.0
base,66,0.000800540573641513,0.04734822319949939,0.6402623684574119,0.6402623684574119,0.0
base,67,0.0007938926261462371,0.04532239723731088,0.6234753893063738,0.6234753893063738,0.0
base,68,0.0007871643313414722,0.04498409433813577,0.6043775608477074,0.6043775608477074,0.0
base,69,0.0007803575286758368,0.042970692379687585,0.5851304368361196,0.5851304368361196,0.0
base,70,0.000773474079061214,0.04259470596694257,0.5690780413093384,0.5690780413093384,0.0
base,71,0.0007665158643639973,0.04306802516036475,0.5518244666298039,0.5518244666298039,0.0
base,72,0.0007594847868906081,0.04159093143089981,0.5354635308188491,0.5354635308188491,0.0
